candidate_id,source_h3_cell,mode,minutes,accessible_population,accessible_demand,reachable_cells
C01,881ec91ad1fffff,drive,5,120198,146388.752,18
C01,881ec91ad1fffff,drive,10,405561,491940.29,61
C01,881ec91ad1fffff,drive,15,842518,1020189.403,127
C01,881ec91ad1fffff,walk,5,6640,8079.708,1
C01,881ec91ad1fffff,walk,10,6640,8079.708,1
C01,881ec91ad1fffff,walk,15,47008,57341.564,7
C02,881ec9ceb1fffff,drive,5,99483,109666.573,16
C02,881ec9ceb1fffff,drive,10,328230,361024.881,56
C02,881ec9ceb1fffff,drive,15,677296,745538.725,123
C02,881ec9ceb1fffff,walk,5,6617,7308.941,1
C02,881ec9ceb1fffff,walk,10,6617,7308.941,1
C02,881ec9ceb1fffff,walk,15,45137,49742.115,7
C03,881ec91b57fffff,drive,5,118989,133086.496,18
C03,881ec91b57fffff,drive,10,394377,443149.87,60
C03,881ec91b57fffff,drive,15,797930,898396.441,125
C03,881ec91b57fffff,walk,5,6452,7146.299,1
C03,881ec91b57fffff,walk,10,6452,7146.299,1
C03,881ec91b57fffff,walk,15,45694,50760.596,7
C04,881ec9c5e3fffff,drive,5,106300,116725.594,16
C04,881ec9c5e3fffff,drive,10,338452,371840.808,51
C04,881ec9c5e3fffff,drive,15,782730,859894.378,121
C04,881ec9c5e3fffff,walk,5,6603,7247.912,1
C04,881ec9c5e3fffff,walk,10,6603,7247.912,1
C04,881ec9c5e3fffff,walk,15,46124,50508.72,7
C05,881ec910cbfffff,drive,5,125206,156218.982,19
C05,881ec910cbfffff,drive,10,404027,505255.777,61
C05,881ec910cbfffff,drive,15,842125,1052369.305,127
C05,881ec910cbfffff,walk,5,6452,7958.245,1
C05,881ec910cbfffff,walk,10,6452,7958.245,1
C05,881ec910cbfffff,walk,15,46029,57366.746,7
C06,881ec91363fffff,drive,5,125334,143530.479,19
C06,881ec91363fffff,drive,10,389561,446997.887,61
C06,881ec91363fffff,drive,15,775952,892263.921,127
C06,881ec91363fffff,walk,5,6549,7480.103,1
C06,881ec91363fffff,walk,10,6549,7480.103,1
C06,881ec91363fffff,walk,15,46559,53510.529,7
C07,881ec91017fffff,drive,5,126631,157808.082,19
C07,881ec91017fffff,drive,10,405849,504656.318,61
C07,881ec91017fffff,drive,15,843811,1047257.859,127
C07,881ec91017fffff,walk,5,6452,7932.299,1
C07,881ec91017fffff,walk,10,6452,7932.299,1
C07,881ec91017fffff,walk,15,46944,58695.133,7
C08,881ec98dd5fffff,drive,5,105530,132915.386,19
C08,881ec98dd5fffff,drive,10,271395,340209.538,53
C08,881ec98dd5fffff,drive,15,490996,615274.846,107
C08,881ec98dd5fffff,walk,5,5752,7174.219,1
C08,881ec98dd5fffff,walk,10,5752,7174.219,1
C08,881ec98dd5fffff,walk,15,40942,51806.221,7
C09,881ec90349fffff,drive,5,124505,152757.628,19
C09,881ec90349fffff,drive,10,404165,498244.435,61
C09,881ec90349fffff,drive,15,842219,1037543.204,127
C09,881ec90349fffff,walk,5,6452,7824.064,1
C09,881ec90349fffff,walk,10,6452,7824.064,1
C09,881ec90349fffff,walk,15,45785,56075.972,7
C10,881ec911c1fffff,drive,5,127549,157989.472,19
C10,881ec911c1fffff,drive,10,406706,501130.18,61
C10,881ec911c1fffff,drive,15,842646,1034143.732,127
C10,881ec911c1fffff,walk,5,6452,7854.156,1
C10,881ec911c1fffff,walk,10,6452,7854.156,1
C10,881ec911c1fffff,walk,15,47636,59322.837,7
C11,881ec915bdfffff,drive,5,106103,126511.584,16
C11,881ec915bdfffff,drive,10,298331,353901.712,45
C11,881ec915bdfffff,drive,15,562905,663416.878,85
C11,881ec915bdfffff,walk,5,6452,7577.995,1
C11,881ec915bdfffff,walk,10,6452,7577.995,1
C11,881ec915bdfffff,walk,15,46123,54875.978,7
C12,881ec915c1fffff,drive,5,67094,81528.355,10
C12,881ec915c1fffff,drive,10,205309,246934.475,31
C12,881ec915c1fffff,drive,15,423869,507279.906,64
C12,881ec915c1fffff,walk,5,6452,7708.895,1
C12,881ec915c1fffff,walk,10,6452,7708.895,1
C12,881ec915c1fffff,walk,15,26264,31574.629,4
C13,881ec90735fffff,drive,5,112913,130625.372,17
C13,881ec90735fffff,drive,10,339585,392237.266,51
C13,881ec90735fffff,drive,15,638008,733329.275,96
C13,881ec90735fffff,walk,5,6770,7897.345,1
C13,881ec90735fffff,walk,10,6770,7897.345,1
C13,881ec90735fffff,walk,15,46038,53012.911,7
C14,881ec90421fffff,drive,5,106788,119908.143,16
C14,881ec90421fffff,drive,10,379342,425913.978,57
C14,881ec90421fffff,drive,15,808991,907190.058,122
C14,881ec90421fffff,walk,5,6958,7957.199,1
C14,881ec90421fffff,walk,10,6958,7957.199,1
C14,881ec90421fffff,walk,15,47447,53649.386,7
C15,881ec905d1fffff,drive,5,79479,87238.537,12
C15,881ec905d1fffff,drive,10,345124,380003.04,52
C15,881ec905d1fffff,drive,15,794141,875502.823,123
C15,881ec905d1fffff,walk,5,6763,7504.185,1
C15,881ec905d1fffff,walk,10,6763,7504.185,1
C15,881ec905d1fffff,walk,15,46965,51951.925,7
C16,881ec914a9fffff,drive,5,119402,140280.654,18
C16,881ec914a9fffff,drive,10,404863,475892.246,61
C16,881ec914a9fffff,drive,15,823938,967343.678,124
C16,881ec914a9fffff,walk,5,6554,7681.982,1
C16,881ec914a9fffff,walk,10,6554,7681.982,1
C16,881ec914a9fffff,walk,15,46814,55226.397,7
C17,881ec9065bfffff,drive,5,119008,133791.241,18
C17,881ec9065bfffff,drive,10,397428,447400.418,60
C17,881ec9065bfffff,drive,15,818199,923809.619,125
C17,881ec9065bfffff,walk,5,6452,7098.733,1
C17,881ec9065bfffff,walk,10,6452,7098.733,1
C17,881ec9065bfffff,walk,15,46041,51581.501,7
C18,881ec906c3fffff,drive,5,92521,101585.565,14
C18,881ec906c3fffff,drive,10,379553,416699.094,60
C18,881ec906c3fffff,drive,15,762107,838855.75,127
C18,881ec906c3fffff,walk,5,6690,7383.335,1
C18,881ec906c3fffff,walk,10,6690,7383.335,1
C18,881ec906c3fffff,walk,15,46806,51621.089,7
C19,881ec93a15fffff,drive,5,53340,57683.829,19
C19,881ec93a15fffff,drive,10,176514,190591.984,66
C19,881ec93a15fffff,drive,15,389754,422664.041,134
C19,881ec93a15fffff,walk,5,2570,2742.793,1
