store_id,source_h3_cell,mode,minutes,accessible_population,accessible_demand,reachable_cells
S01,881ec910bbfffff,drive,5,126319,158748.019,19
S01,881ec910bbfffff,drive,10,406072,510302.909,61
S01,881ec910bbfffff,drive,15,845660,1061129.645,127
S01,881ec910bbfffff,walk,5,6874,8768.658,1
S01,881ec910bbfffff,walk,10,6874,8768.658,1
S01,881ec910bbfffff,walk,15,46694,58788.159,7
S02,881ec9108bfffff,drive,5,125445,157185.057,19
S02,881ec9108bfffff,drive,10,403818,505943.265,61
S02,881ec9108bfffff,drive,15,844840,1059526.035,127
S02,881ec9108bfffff,walk,5,6898,8809.382,1
S02,881ec9108bfffff,walk,10,6898,8809.382,1
S02,881ec9108bfffff,walk,15,46211,57943.319,7
S03,881ec9172dfffff,drive,5,125597,157457.255,19
S03,881ec9172dfffff,drive,10,405046,508665.935,61
S03,881ec9172dfffff,drive,15,809522,1015185.71,122
S03,881ec9172dfffff,walk,5,6860,8749.624,1
S03,881ec9172dfffff,walk,10,6860,8749.624,1
S03,881ec9172dfffff,walk,15,46490,58414.355,7
S04,881ec910bdfffff,drive,5,126095,158286.725,19
S04,881ec910bdfffff,drive,10,406439,510741.74,61
S04,881ec910bdfffff,drive,15,844355,1058009.807,127
S04,881ec910bdfffff,walk,5,6452,7984.511,1
S04,881ec910bdfffff,walk,10,6452,7984.511,1
S04,881ec910bdfffff,walk,15,46051,57488.536,7
S05,881ec91a95fffff,drive,5,113396,138411.401,17
S05,881ec91a95fffff,drive,10,400538,488595.005,60
S05,881ec91a95fffff,drive,15,843593,1024610.625,127
S05,881ec91a95fffff,walk,5,6736,8257.644,1
S05,881ec91a95fffff,walk,10,6736,8257.644,1
S05,881ec91a95fffff,walk,15,47730,58783.871,7
S06,881ec90213fffff,drive,5,125699,156565.569,19
S06,881ec90213fffff,drive,10,400568,500460.308,60
S06,881ec90213fffff,drive,15,755317,943987.934,113
S06,881ec90213fffff,walk,5,6452,7984.361,1
S06,881ec90213fffff,walk,10,6452,7984.361,1
S06,881ec90213fffff,walk,15,46039,57268.552,7
S07,881ec91565fffff,drive,5,126583,159035.898,19
S07,881ec91565fffff,drive,10,408436,513939.349,61
S07,881ec91565fffff,drive,15,832957,1044748.472,125
S07,881ec91565fffff,walk,5,6506,8125.05,1
S07,881ec91565fffff,walk,10,6506,8125.05,1
S07,881ec91565fffff,walk,15,47482,60213.142,7
S08,881ec915abfffff,drive,5,80048,96124.811,12
S08,881ec915abfffff,drive,10,245004,291629.876,37
S08,881ec915abfffff,drive,15,476709,564006.781,72
S08,881ec915abfffff,walk,5,6452,7649.003,1
S08,881ec915abfffff,walk,10,6452,7649.003,1
S08,881ec915abfffff,walk,15,32967,39389.722,5
S09,881ec90715fffff,drive,5,118777,136732.798,18
S09,881ec90715fffff,drive,10,391577,452566.221,59
S09,881ec90715fffff,drive,15,738198,851012.925,111
S09,881ec90715fffff,walk,5,6986,8241.536,1
S09,881ec90715fffff,walk,10,6986,8241.536,1
S09,881ec90715fffff,walk,15,46283,53197.802,7
S10,881ec91589fffff,drive,5,106732,128667.388,16
S10,881ec91589fffff,drive,10,272086,325433.844,41
S10,881ec91589fffff,drive,15,523144,621860.042,79
S10,881ec91589fffff,walk,5,6878,8434.765,1
S10,881ec91589fffff,walk,10,6878,8434.765,1
S10,881ec91589fffff,walk,15,46805,56604.466,7
