candidate_id,mean_rank,rank_p05,rank_p95,top_3_probability,top_5_probability,rank_1_probability
C24,1.6653333333333333,1.0,3.0,0.9906666666666667,1.0,0.5346666666666666
C18,2.6253333333333333,1.0,5.0,0.7346666666666667,0.9706666666666667,0.30933333333333335
C17,3.128,2.0,5.0,0.6373333333333333,0.9573333333333334,0.02666666666666667
C07,4.349333333333333,3.0,6.0,0.188,0.9426666666666667,0.0
C03,4.858666666666666,1.0,9.0,0.31066666666666665,0.5546666666666666,0.104
C05,5.521333333333334,2.0,9.0,0.124,0.468,0.025333333333333333
C01,8.705333333333334,6.0,13.0,0.0,0.013333333333333334,0.0
C15,8.86,7.0,11.0,0.0,0.0,0.0
C04,9.145333333333333,6.0,13.0,0.0013333333333333333,0.02666666666666667,0.0
C06,9.918666666666667,6.0,14.0,0.005333333333333333,0.024,0.0
C20,11.296,6.0,16.0,0.008,0.042666666666666665,0.0
C02,11.609333333333334,9.0,14.0,0.0,0.0,0.0
C10,11.848,8.0,14.549999999999955,0.0,0.0,0.0
C09,11.861333333333333,8.0,14.0,0.0,0.0,0.0
C16,15.286666666666667,14.0,17.0,0.0,0.0,0.0
C14,16.016,14.0,17.0,0.0,0.0,0.0
C13,16.32,14.0,17.0,0.0,0.0,0.0
C23,18.505333333333333,18.0,20.0,0.0,0.0,0.0
C11,19.497333333333334,18.0,22.0,0.0,0.0,0.0
C19,19.550666666666668,18.0,21.0,0.0,0.0,0.0
C08,20.924,19.0,22.0,0.0,0.0,0.0
C21,21.542666666666666,20.0,22.0,0.0,0.0,0.0
C12,22.965333333333334,23.0,23.0,0.0,0.0,0.0
C22,24.0,24.0,24.0,0.0,0.0,0.0
