dataset,check,status,observed,threshold,severity
footprint,missing_values,PASS,0,0,critical
footprint,empty_geometry,PASS,0,0,critical
footprint,invalid_geometry,PASS,0,0,critical
footprint,crs_is_wgs84,PASS,EPSG:4326,EPSG:4326,critical
footprint,coordinate_range,PASS,"28.1800,40.7900,29.5400,41.3800",valid_lon_lat,critical
footprint,duplicate_geometry,PASS,0,0,warning
footprint,duplicate_identifier,PASS,0,0,critical
grid,missing_values,PASS,0,0,critical
grid,empty_geometry,PASS,0,0,critical
grid,invalid_geometry,PASS,0,0,critical
grid,crs_is_wgs84,PASS,EPSG:4326,EPSG:4326,critical
grid,coordinate_range,PASS,"28.1752,40.7855,29.5421,41.3820",valid_lon_lat,critical
grid,duplicate_geometry,PASS,0,0,warning
grid,duplicate_identifier,PASS,0,0,critical
candidates,missing_values,PASS,0,0,critical
candidates,empty_geometry,PASS,0,0,critical
candidates,invalid_geometry,PASS,0,0,critical
candidates,crs_is_wgs84,PASS,EPSG:4326,EPSG:4326,critical
candidates,coordinate_range,PASS,"28.2478,40.8289,29.3185,41.1864",valid_lon_lat,critical
candidates,duplicate_geometry,PASS,0,0,warning
candidates,duplicate_identifier,PASS,0,0,critical
existing_stores,missing_values,PASS,0,0,critical
existing_stores,empty_geometry,PASS,0,0,critical
existing_stores,invalid_geometry,PASS,0,0,critical
existing_stores,crs_is_wgs84,PASS,EPSG:4326,EPSG:4326,critical
existing_stores,coordinate_range,PASS,"28.8725,40.9363,29.1545,41.0795",valid_lon_lat,critical
existing_stores,duplicate_geometry,PASS,0,0,warning
existing_stores,duplicate_identifier,PASS,0,0,critical
competitors,missing_values,PASS,0,0,critical
competitors,empty_geometry,PASS,0,0,critical
competitors,invalid_geometry,PASS,0,0,critical
competitors,crs_is_wgs84,PASS,EPSG:4326,EPSG:4326,critical
competitors,coordinate_range,PASS,"28.6297,40.8456,29.2758,41.1038",valid_lon_lat,critical
competitors,duplicate_geometry,PASS,0,0,warning
competitors,duplicate_identifier,PASS,0,0,critical
pois,missing_values,PASS,0,0,critical
pois,empty_geometry,PASS,0,0,critical
pois,invalid_geometry,PASS,0,0,critical
pois,crs_is_wgs84,PASS,EPSG:4326,EPSG:4326,critical
pois,coordinate_range,PASS,"28.5878,40.8289,29.3217,41.1436",valid_lon_lat,critical
pois,duplicate_geometry,PASS,0,0,warning
pois,duplicate_identifier,PASS,0,0,critical
candidates,spatial_join_unmatched,PASS,0,0,warning
existing_stores,spatial_join_unmatched,PASS,0,0,warning
competitors,spatial_join_unmatched,WARN,7,0,warning
pois,spatial_join_unmatched,WARN,16,0,warning
